image_name,split
hard_hat_workers2917.png,train
hard_hat_workers1024.png,train
hard_hat_workers2671.png,train
hard_hat_workers1731.png,train
hard_hat_workers4570.png,train
hard_hat_workers11.png,train
hard_hat_workers3014.png,train
hard_hat_workers3326.png,train
hard_hat_workers2351.png,train
hard_hat_workers3531.png,train
hard_hat_workers2190.png,train
hard_hat_workers1435.png,train
hard_hat_workers4939.png,train
hard_hat_workers3611.png,train
hard_hat_workers4828.png,train
hard_hat_workers3404.png,train
hard_hat_workers122.png,train
hard_hat_workers3115.png,train
hard_hat_workers3105.png,train
hard_hat_workers2221.png,train
hard_hat_workers3629.png,train
hard_hat_workers3998.png,train
hard_hat_workers4998.png,train
hard_hat_workers833.png,train
hard_hat_workers1205.png,train
hard_hat_workers3689.png,train
hard_hat_workers2131.png,train
hard_hat_workers4514.png,train
hard_hat_workers1669.png,train
hard_hat_workers4752.png,train
hard_hat_workers482.png,train
hard_hat_workers4450.png,train
hard_hat_workers436.png,train
hard_hat_workers2263.png,train
hard_hat_workers3245.png,train
hard_hat_workers1747.png,train
hard_hat_workers3694.png,train
hard_hat_workers630.png,train
hard_hat_workers1306.png,train
hard_hat_workers3012.png,train
hard_hat_workers3791.png,train
hard_hat_workers1045.png,train
hard_hat_workers3231.png,train
hard_hat_workers1848.png,train
hard_hat_workers3693.png,train
hard_hat_workers3422.png,train
hard_hat_workers2191.png,train
hard_hat_workers2801.png,train
hard_hat_workers4717.png,train
hard_hat_workers2459.png,train
hard_hat_workers1572.png,train
hard_hat_workers838.png,train
hard_hat_workers926.png,train
hard_hat_workers4633.png,train
hard_hat_workers3672.png,train
hard_hat_workers1971.png,train
hard_hat_workers613.png,train
hard_hat_workers1229.png,train
hard_hat_workers2562.png,train
hard_hat_workers4277.png,train
hard_hat_workers2891.png,train
hard_hat_workers1503.png,train
hard_hat_workers2564.png,train
hard_hat_workers3202.png,train
hard_hat_workers1065.png,train
hard_hat_workers624.png,train
hard_hat_workers4952.png,train
hard_hat_workers601.png,train
hard_hat_workers1744.png,train
hard_hat_workers4776.png,train
hard_hat_workers4863.png,train
hard_hat_workers2179.png,train
hard_hat_workers784.png,train
hard_hat_workers3112.png,train
hard_hat_workers3347.png,train
hard_hat_workers3842.png,train
hard_hat_workers3394.png,train
